"","hotel_name","address","city_sector","miles_to_city_center","guest_rating_score","guest_rating_verbal","num_of_hotel_com_reviews","trip_advisor_rating","price_for_period_USD","checkin","checkout","q_adults","q_children","hotel_id","star_rating","hotel_coordinates","num_of_rooms","num_of_floors","rest","bar_lounge","gym","meeting_room","ac","wifi","laundry","pool","parking"
"22","7 Hotel Diner","London Road, Polhill, Halstead, Sevenoaks, England, TN14 7AA, United Kingdom, 866-573-4235","Sevenoaks",NA,8.2,"Very Good",124,"3.5","75","2019-10-01","2019-10-02",2,0,366101,4,"51.324275,0.155263","26","2",1,1,0,0,0,1,0,0,1
"23","88 Studios Kensington","88 Holland Road, London, England, W14 8BN, United Kingdom, 866-573-4235","West Kensington",3.6,8.6,"Fabulous",531,"4","120","2019-10-01","2019-10-02",2,0,590766,4,"51.499156,-0.209318","35","5",0,0,0,0,1,1,1,0,0
"24","9 Hertford Street","9 Hertford Street, London, England, W1J 7RJ, United Kingdom, 866-573-4235","Mayfair",0.9,9.6,"Exceptional",19,"5","319","2019-10-01","2019-10-02",2,0,800534880,4.5,"51.50562,-0.14775","11",NA,0,0,0,0,0,1,1,0,1
"25","9A Craven Road Hotel","9a Craven Road, London, England, W2 3bp, United Kingdom, 866-573-4235","Paddington",2.2,5.6,"",55,"2","86","2019-10-01","2019-10-02",2,0,509263,3,"51.514807,-0.17701","12",NA,1,0,0,0,0,1,1,0,0
"26","A to B HOTEL","9 Hanger Lane, London, England, W5 3HH, United Kingdom, 866-573-4235","London",7,5.8,"",83,"2.5","62","2019-10-01","2019-10-02",2,0,659078,2.5,"51.511867,-0.291113","10",NA,0,0,0,0,0,0,0,0,1
"27","Abbey Lodge","51 Grange Park, London, England, W5 3PR, United Kingdom, 866-573-4235","London",7.3,5.2,"",55,"2.5","66","2019-10-01","2019-10-02",2,0,567240,2.5,"51.50853,-0.298436","17",NA,0,0,0,0,0,1,1,0,1
"28","ABC Hyde Park Hotel","119-121 Sussex Gardens, Paddington, London, England, W2 2RU, United Kingdom, 866-573-4235","Paddington",2,6.8,"Good",253,"3","97","2019-10-01","2019-10-02",2,0,330391,3,"51.51552,-0.171683","37","4",0,0,0,0,0,1,0,0,1
"29","Abercorn House","28-30 Bute Gardens, Hammersmith, London, England, W6 7DS, United Kingdom, 866-573-4235","Hammersmith",4.2,7.2,"Good",369,"3","36","2019-10-01","2019-10-02",2,0,647029,2,"51.49431,-0.22229","125",NA,0,0,0,0,0,1,1,0,0
"30","Abodebed - Evans Wharf","9 Evans Wharf, Hemel Hempstead, England, HP3 9WU, United Kingdom, 866-573-4235","Hemel Hempstead",NA,NA,NA,NA,NA,"119","2019-10-01","2019-10-02",2,0,1059595616,3,"51.734104,-0.459172",NA,NA,0,0,0,0,0,0,0,0,1
"31","Abodebed - Handleys Court","5 Handleys Court, Selden Hill, Hemel Hempstead, England, HP2 4FW, United Kingdom, 866-573-4235","Hemel Hempstead",NA,8.6,"Fabulous",3,NA,"100","2019-10-01","2019-10-02",2,0,1059578912,3,"51.746834,-0.472647","8",NA,0,0,0,0,0,1,0,0,1
"32","Abodebed - Oval View","1 Oval View Cotterells, Hemel Hempstead, England, HP1 1GF, United Kingdom, 866-573-4235","Hemel Hempstead",NA,10,"Exceptional",2,"5","132","2019-10-01","2019-10-02",2,0,661223936,3.5,"51.745876,-0.474824",NA,NA,0,0,0,0,0,0,0,0,1
"33","Absolute Pleasure Yacht","Behind Hertsmere Rd West India Quay, Tower Hamlets, London, England, E14 4ED, United Kingdom, 866-573-4235","Canary Wharf",4.5,NA,NA,NA,NA,"2","2019-10-01","2019-10-02",2,0,747276128,4,"51.5069,-0.02202","3","11",0,0,0,0,0,0,0,0,1
"34","Acacia Hostel","14 Queensbury Place, London, England, SW7 2EA, United Kingdom, 866-573-4235","South Kensington",2.3,6.6,"Good",38,"2.5","46","2019-10-01","2019-10-02",2,0,403938560,2,"51.49466,-0.17764","20",NA,0,0,0,0,0,0,0,0,1
"35","Accommodation London Bridge","58 Great Dover Street, London, England, SE1 4YF, United Kingdom, 866-573-4235","Bermondsey",1.8,8.4,"Very Good",243,"4","123","2019-10-01","2019-10-02",2,0,514180,2.5,"51.497632,-0.089779","44","3",0,0,0,0,0,1,0,0,0
"36","Ace Hotel London Shoreditch","100 Shoreditch High Street, London, England, E1 6JQ, United Kingdom, 866-573-4235","Shoreditch",2.5,8.6,"Fabulous",666,"4","318","2019-10-01","2019-10-02",2,0,220408,5,"51.525664,-0.077714","258","7",1,1,1,1,1,1,1,0,0
"37","Acorn - Byng Place Apartments","1 Byng Place, Camden, London, England, WC1E 7JJ, United Kingdom, 866-573-4235","Bloomsbury",1.1,6.6,"Good",27,NA,"167","2019-10-01","2019-10-02",2,0,550793,4,"51.522988,-0.131302","15","4",0,0,0,0,0,1,1,0,0
"38","Acorn Lodge Gatwick Hotel","79 Massetts Road, Horley, England, RH6 7EB, United Kingdom, 866-573-4235","Horley",NA,7.2,"Good",95,"3.5","59","2019-10-01","2019-10-02",2,0,338105,4,"51.169506,-0.173513","22","2",1,1,0,0,0,1,0,0,1
"39","Acton Town Hotel","109 - 113 Gunnersbury Lane, Acton, London, England, W3 8HQ, United Kingdom, 866-573-4235","Acton",6.5,6,"Good",182,"2","54","2019-10-01","2019-10-02",2,0,443342,2,"51.503571,-0.279937","33","3",0,0,0,0,0,1,0,0,1
"40","Adare Hotel","153 Sussex Gardens, Hyde park, London, England, W2 2RY, United Kingdom, 866-573-4235","Paddington",2,5.8,"",254,"2.5","94","2019-10-01","2019-10-02",2,0,265398,2.5,"51.514947,-0.17274","20","5",0,0,0,0,0,1,0,0,1
"41","Admiral Hotel at Park Avenue","143 Sussex Gardens, Hyde Park, London, England, W2 2RY, United Kingdom, 866-573-4235","Paddington",2,6.8,"Good",13,"3","123","2019-10-01","2019-10-02",2,0,494511,3,"51.515196,-0.172652","22","4",1,1,0,1,0,1,0,0,1
"42","Adria Hotel","44-46 Glenthorne Road, London, England, W6 0LS, United Kingdom, 866-573-4235","Hammersmith",4.4,8.4,"Very Good",196,"4","99","2019-10-01","2019-10-02",2,0,320290,3,"51.494415,-0.228953","30","3",0,0,0,0,0,1,0,0,1
"43","Airport Guest House","558-560 London Road, Slough, England, SL3 8QF, United Kingdom, 866-573-4235","Slough",18,7.8,"Good",26,"3.5","72","2019-10-01","2019-10-02",2,0,384194176,3,"51.48886,-0.53509","30",NA,0,0,0,0,0,1,0,0,1
"44","Airport home","Cardington Square, Hounslow, England, TW4 6AL, United Kingdom, 866-573-4235","Hounslow",12,NA,NA,NA,NA,"68","2019-10-01","2019-10-02",2,0,1235481056,3,"51.464934,-0.390724","2",NA,0,0,0,0,0,1,1,0,0
"45","Airport Inn Gatwick","Longbridge Roundabout, Horley, England, RH6 0AB, United Kingdom, 866-573-4235","Horley",NA,6.2,"Good",1219,"3","66","2019-10-01","2019-10-02",2,0,175033,3,"51.167074,-0.179354","125","6",1,1,0,1,0,1,0,0,1
"46","Airways Hotel Victoria","29 St. Georges Dr., Victoria, London, England, SW1V 4DG, United Kingdom, 866-573-4235","Victoria",1.3,7.6,"Good",356,"3","201","2019-10-01","2019-10-02",2,0,140101,3,"51.490897,-0.144013","37","5",0,0,0,1,1,1,1,0,0
"47","AJ Lodge","150-151 Oatlands Drive, Slough, England, SL1 3HS, United Kingdom, 866-573-4235","Slough",NA,8.4,"Very Good",6,"4.5","63","2019-10-01","2019-10-02",2,0,1212594400,3,"51.5226,-0.60845","27",NA,0,0,0,0,0,0,0,0,1
"48","Al Iràm Guest House London UK","9 Regal Cl, London, England, E1 5JB, United Kingdom, 866-573-4235","Whitechapel",2.8,4,"",NA,NA,"138","2019-10-01","2019-10-02",2,0,1164378784,3,"51.519189,-0.064243","5",NA,0,0,0,0,0,1,0,0,1
"49","Albany Hotel","34 Tavistock Place, Russell Square, Bloomsbury, London, England, WC1H 9RE, United Kingdom, 866-573-4235","Bloomsbury",1.2,5.8,"",101,"3","80","2019-10-01","2019-10-02",2,0,622460,2.5,"51.525441,-0.126041","13",NA,0,1,0,0,0,1,0,0,0
"50","Albion House Hotel","29 Argyle Square, London, England, WC1H 8AL, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,5.2,"",66,"2.5","99","2019-10-01","2019-10-02",2,0,451332,3,"51.528606,-0.121713","40",NA,0,0,0,0,0,1,0,0,0
"51","Albro House","155 Sussex Gardens, London, England, W2 2RY, United Kingdom, 866-573-4235","Paddington",2,7.6,"Good",24,"3.5","130","2019-10-01","2019-10-02",2,0,285929,2,"51.51489,-0.17305","19","4",0,0,0,0,0,1,0,0,1
"52","Aldgate Apartments","331-335 Commercial Road, London, England, E1 2PS, United Kingdom, 866-573-4235","Whitechapel",3.2,4,"",2,NA,"207","2019-10-01","2019-10-02",2,0,743602816,4,"51.51426,-0.05442","2","11",0,0,0,0,0,0,0,0,1
"53","Alexander Pope","Cross Deep, Twickenham, England, TW1 4RB, United Kingdom, 866-573-4235","Richmond-upon-Thames",9.9,8.8,"Fabulous",101,"4","131","2019-10-01","2019-10-02",2,0,398805,3.5,"51.441164,-0.332575","32","3",1,1,0,1,1,1,1,0,1
"54","Alexandra Hotel","159/161 Sussex Gardens Hyde Park, London, England, W2 2RY, United Kingdom, 866-573-4235","Paddington",2,6.6,"Good",432,"2.5","86","2019-10-01","2019-10-02",2,0,307312,2.5,"51.514935,-0.172719","97",NA,0,0,0,0,0,1,0,0,1
"55","Alhambra Hotel","17-19 Argyle Street, London, England, WC1H 8EJ, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,7.8,"Good",812,"4","103","2019-10-01","2019-10-02",2,0,315467,2.5,"51.52918,-0.12376","52","3",0,0,0,0,0,1,0,0,0
"56","Amazing London","21 Chigwell Rd, London, England, E18 1LR, United Kingdom, 866-573-4235","London",8.9,6.6,"Good",3,"4","86","2019-10-01","2019-10-02",2,0,1071343648,4,"51.590056,0.03203","8",NA,0,0,0,0,0,0,1,0,1
"57","Amba Hotel Charing Cross","The Strand, London, England, WC2N 5HX, United Kingdom, 866-573-4235","West End",0.1,9.2,"Superb",985,"5","346","2019-10-01","2019-10-02",2,0,225288,4,"51.508571,-0.124946","239","6",1,1,1,1,1,1,1,0,0
"58","Amba Hotel Marble Arch","Bryanston Street, Marble Arch, London, England, W1H 7EH, United Kingdom, 866-573-4235","City of Westminster",1.3,8.6,"Fabulous",651,"4.5","331","2019-10-01","2019-10-02",2,0,105507,4,"51.514461,-0.156714","692",NA,1,1,1,1,1,1,1,0,1
"59","Ambassadors Bloomsbury","12 Upper Woburn Place, London, England, WC1H 0HX, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.3,7.6,"Good",573,"3.5","200","2019-10-01","2019-10-02",2,0,206451,4,"51.52662,-0.129937","100","6",1,1,1,1,1,1,1,0,0
"60","Ambassadors Hotel","16 Collingham Road, Kensington, London, England, SW5 0LX, United Kingdom, 866-573-4235","Earl's Court",2.8,6.2,"Good",841,"2.5","109","2019-10-01","2019-10-02",2,0,122282,3,"51.493872,-0.188486","150","6",0,0,0,0,0,1,1,0,0
"61","Amber Residence Hotel","42-44 Gloucester Place, Marylebone, London, England, W1U 8HF, United Kingdom, 866-573-4235","City of Westminster",1.5,6.6,"Good",93,"3.5","96","2019-10-01","2019-10-02",2,0,73112128,2.5,"51.51795,-0.15787","36",NA,0,0,0,0,0,1,1,0,1
"62","Americana Hotel","172 Gloucester Place, London, England, NW1 6DS, United Kingdom, 866-573-4235","Marylebone",1.8,7,"Good",224,"3.5","121","2019-10-01","2019-10-02",2,0,3107904,3,"51.524579,-0.160926","29","6",0,0,0,0,0,1,0,0,0
"63","Amity Hostel","45 Wimbledon Hill Road, London, England, SW19 7NA, United Kingdom, 866-573-4235","London",6.8,4.4,"",13,"1.5","55","2019-10-01","2019-10-02",2,0,699370272,3,"51.42261,-0.20888","40",NA,0,0,0,0,0,0,1,0,0
"64","Amsterdam Hotel London","7 Trebovir Road, Kensington, London, England, SW5 9LS, United Kingdom, 866-573-4235","Earl's Court",3,6.6,"Good",155,"3.5","69","2019-10-01","2019-10-02",2,0,361430,3.5,"51.492251,-0.194154","19","4",0,0,0,0,0,0,0,0,0
"65","Anchor House","21 St George's Wharf, Flat 1023, London, England, SW8 2FH, United Kingdom, 866-573-4235","London",NA,NA,NA,NA,NA,"244","2019-10-01","2019-10-02",2,0,798383680,4,"51.57061,-0.1935",NA,NA,0,0,0,0,0,0,0,0,1
"66","Andaz London Liverpool Street - a concept by Hyatt","40 Liverpool Street, London, England, EC2M 7QN, United Kingdom, 866-573-4235","The City of London",2.1,9.2,"Superb",538,"4.5","496","2019-10-01","2019-10-02",2,0,169262,5,"51.517199,-0.081676","267",NA,1,1,0,1,1,1,1,0,0
"67","Anderson Suites","20 Upper Berkeley St, London, England, W1H 7PF, United Kingdom, 866-573-4235","City of Westminster",1.5,NA,NA,NA,NA,"154","2019-10-01","2019-10-02",2,0,1216494688,3.5,"51.515531,-0.160575","7",NA,0,0,0,0,0,1,1,0,0
"68","Angel Apartments- Islington","Claremont Square, London, England, N1 9LY, United Kingdom, 866-573-4235","Angel",1.8,7.2,"Good",32,"1","145","2019-10-01","2019-10-02",2,0,718601504,3.5,"51.53126,-0.11055","5",NA,0,0,0,0,1,1,0,0,0
"69","Angel Riverview Apartment","Graham Street, Jessop court, London, England, N1 8LG, United Kingdom, 866-573-4235","Angel",2.1,NA,NA,NA,NA,"146","2019-10-01","2019-10-02",2,0,1182706144,3.5,"51.532387,-0.099524","3","10",0,0,0,0,0,0,0,0,1
"70","Antoinette Hotel Wimbledon","249 - 263 The Broadway, Wimbledon, London, England, SW19 1SD, United Kingdom, 866-573-4235","London",6.7,8.4,"Very Good",227,"4","116","2019-10-01","2019-10-02",2,0,261456,3,"51.419454,-0.195012","50","2",0,1,0,1,1,1,0,0,1
"71","Anwar House","31 Collingaham Place, Earls Court, London, England, SW5 0QF, United Kingdom, 866-573-4235","Earl's Court",2.8,5.4,"",49,"2.5","74","2019-10-01","2019-10-02",2,0,542912,2.5,"51.493813,-0.189886","15",NA,0,0,0,0,0,0,0,0,0
"72","Apartment near London Bridge and Borough","3 Douglas Building, London, England, E2 0QN, United Kingdom, 866-573-4235","Newington",1.5,NA,NA,NA,NA,"226","2019-10-01","2019-10-02",2,0,1159056192,4,"51.501445,-0.09485","2",NA,0,0,0,0,0,1,0,0,1
"73","Apartments Camden Town","41 Greenland Road, London, England, NW1 0AX, United Kingdom, 866-573-4235","Camden Town",2.3,7,"Good",32,NA,"71","2019-10-01","2019-10-02",2,0,755247168,4,"51.539673,-0.139911","6",NA,0,0,0,0,0,1,0,0,0
"74","Apartments Inn London Lancaster","5 Sussex Place, London, England, W2 2SX, United Kingdom, 866-573-4235","Paddington",2,6.8,"Good",266,"2.5","186","2019-10-01","2019-10-02",2,0,487806,4,"51.514474,-0.172603","14","4",0,0,0,0,0,1,0,0,0
"75","Apartments Inn London Pimlico","25 St. Georges Square, Westminster Borough, London, England, SW1V 1HX, United Kingdom, 866-573-4235","Victoria",1.3,7,"Good",204,"3","184","2019-10-01","2019-10-02",2,0,487804,4,"51.488953,-0.135166","14",NA,0,0,0,0,0,1,0,0,0
"76","Apex City of London Hotel","1 Seething Lane, London, England, EC3N 4AX, United Kingdom, 866-573-4235","The City of London",2.1,9.2,"Superb",1790,"4.5","309","2019-10-01","2019-10-02",2,0,231415,4,"51.510534,-0.079265","209","7",1,1,1,1,1,1,1,0,0
"77","Apex London Wall Hotel","7-9 Copthall Avenue, London, England, EC2R 7NJ, United Kingdom, 866-573-4235","The City of London",1.8,9.2,"Superb",583,"4.5","358","2019-10-01","2019-10-02",2,0,326855,4,"51.51602,-0.08792","89","7",1,1,1,1,1,1,1,0,0
"78","Apex Temple Court Hotel","1-2 Serjeants Inn, Fleet Street, London, England, EC4Y 1AG, United Kingdom, 866-573-4235","Temple",0.9,9.4,"Exceptional",1439,"4.5","1","2019-10-01","2019-10-02",2,0,400461,4,"51.513617,-0.108428","204","5",1,1,1,0,1,1,1,0,0
"79","Apollo Hotel","64-66 Queensborough Terrace, Bayswater, London, England, W2 3SH, United Kingdom, 866-573-4235","Paddington",2.5,3.8,"",94,"1.5","42","2019-10-01","2019-10-02",2,0,194091,2,"51.511237,-0.185137","46","7",0,1,0,0,0,0,0,0,1
"80","Apple House Guest House Heathrow Airport","165 West End Lane, Harlington, Hayes, England, UB3 5LY, United Kingdom, 866-573-4235","Harlington",14,7,"Good",51,"3","54","2019-10-01","2019-10-02",2,0,398882,2.5,"51.48516,-0.441976","5","1",0,0,0,0,1,1,0,0,1
"81","Apple House Guesthouse Wembley","115 Turner Road, Queensberry, Edgware, England, HA8 6AS, United Kingdom, 866-573-4235","Edgware",NA,8.8,"Fabulous",96,"4.5","54","2019-10-01","2019-10-02",2,0,438162,4,"51.598061,-0.290571","5","1",0,0,0,0,0,1,0,0,1
"82","Aquarius Hotel ","20-22 Hogarth Road, Earl's Court, London, England, SW5 0PT, United Kingdom, 866-573-4235","Earl's Court",3,5.2,"",368,"2","58","2019-10-01","2019-10-02",2,0,495866,2,"51.493131,-0.192441","41","3",0,0,0,0,0,1,0,0,0
"83","Aragon House","247 New King's Road, London, England, SW6 4LS, United Kingdom, 866-573-4235","Hammersmith and Fulham",4,10,"Exceptional",NA,"5","143","2019-10-01","2019-10-02",2,0,1210502400,3.5,"51.47234,-0.200398","15",NA,1,1,0,1,0,1,0,0,0
"84","Arbor City Hotel","12-20 Osborn Street, City Hotel Apartments/12, London, England, E1 6TE, United Kingdom, 866-573-4235","Whitechapel",2.6,8.6,"Fabulous",418,"4.5","209","2019-10-01","2019-10-02",2,0,203661,4,"51.516441,-0.069935","115","6",1,1,0,1,1,1,1,0,1
"85","Ardmore House Hotel","54 Lemsford Rd, St Albans, England, AL1 3PR, United Kingdom, 866-573-4235","St Albans",NA,8.2,"Very Good",125,"4","106","2019-10-01","2019-10-02",2,0,309349,3,"51.75683,-0.32599","40","3",1,1,0,1,0,1,1,0,1
"86","Aron Guest House","27 South Ealing Road, London, England, W5 4QT, United Kingdom, 866-573-4235","London",7.7,6.8,"Good",22,"2","66","2019-10-01","2019-10-02",2,0,412578,3,"51.503005,-0.306952","12",NA,0,0,0,0,0,1,0,0,1
"87","Arosfa","83 Gower Street, London, England, WC1E 6HJ, United Kingdom, 866-573-4235","Bloomsbury",NA,8.8,"Fabulous",318,"4.5","163","2019-10-01","2019-10-02",2,0,318727,3,"51.522331,-0.132485","16","4",0,0,0,0,0,1,0,0,0
"88","Arran Guest House","7 Argyle Road, Ilford, England, IG1 3BH, United Kingdom, 866-573-4235","Ilford",NA,7.6,"Good",84,"3.5","51","2019-10-01","2019-10-02",2,0,580867,2,"51.560199,0.067253","24",NA,0,0,0,0,0,1,0,0,1
"89","Arriva Hotel","47-55 Swinton Street, Kings Cross, London, England, WC1X 9NT, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,6.8,"Good",435,"2.5","96","2019-10-01","2019-10-02",2,0,207775,2.5,"51.528864,-0.118539","75",NA,0,0,0,0,0,1,0,0,0
"90","ARS Guest House","5 Court St, London, England, E1 1DG, United Kingdom, 866-573-4235","Whitechapel",3,3,"",2,NA,"46","2019-10-01","2019-10-02",2,0,1244561120,3,"51.51911,-0.061407","9",NA,0,0,0,0,0,0,0,0,0
"91","Artist Residence London","52 Cambridge Street, London, England, SW1V 4QQ, United Kingdom, 866-573-4235","Victoria",1.4,9.6,"Exceptional",37,"4.5","370","2019-10-01","2019-10-02",2,0,529445,4,"51.490599,-0.144749","10","5",1,1,0,1,1,1,1,0,1
"92","Ascot Hyde Park Hotel","11, Craven Road, Paddington, London, England, W2 3BP, United Kingdom, 866-573-4235","Paddington",2.2,5.2,"",267,"2","104","2019-10-01","2019-10-02",2,0,195317,2.5,"51.514786,-0.1767","66","5",0,0,0,1,0,1,0,0,0
"93","Ashburn Hotel","111 Cromwell Road, London, England, SW7 4DP, United Kingdom, 866-573-4235","Earl's Court",2.7,8.8,"Fabulous",570,"4.5","196","2019-10-01","2019-10-02",2,0,151410,4,"51.494772,-0.186","38","7",0,1,1,0,1,1,1,0,0
"94","Ashley Hotel","13-17 Norfolk Square, Paddington, London, England, W2 1RU, United Kingdom, 866-573-4235","Paddington",2,5.8,"",570,"2.5","78","2019-10-01","2019-10-02",2,0,269606,3,"51.515586,-0.173617","50","4",0,0,0,0,0,1,0,0,0
"95","Aspen Apartments","176 Sussex Gardens, Paddington, London, England, W2 1TP, United Kingdom, 866-573-4235","Paddington",2,7,"Good",57,"3.5","118","2019-10-01","2019-10-02",2,0,316534,3.5,"51.51469,-0.17356","15","5",1,1,0,0,0,1,0,0,1
"96","Assaha Hyde Park Apartments","16 Westbourne Street Lancaster Gate, London, England, W2 2TZ, United Kingdom, 866-573-4235","Paddington",2.1,6.4,"Good",157,"2.5","88","2019-10-01","2019-10-02",2,0,415729,3,"51.512662,-0.175186","21","4",0,0,0,0,0,1,0,0,1
"97","Assembly Hotel London","27 - 31 Charing Cross Road, London, England, WC2H 0LS, United Kingdom, 866-573-4235","West End",0.2,8.8,"Fabulous",1171,"4.5","237","2019-10-01","2019-10-02",2,0,769004992,3.5,"51.51053,-0.12862","121",NA,0,1,0,0,1,1,0,0,0
"98","Astor Court Hotel","20 Hallam Street, London, England, W1W 6JQ, United Kingdom, 866-573-4235","Marylebone",1.1,7.4,"Good",337,"3.5","171","2019-10-01","2019-10-02",2,0,121279,3,"51.519699,-0.14327","40","7",0,0,0,1,0,1,1,0,0
