"","hotel_name","address","city_sector","miles_to_city_center","guest_rating_score","guest_rating_verbal","num_of_hotel_com_reviews","trip_advisor_rating","price_for_period_USD","checkin","checkout","q_adults","q_children","hotel_id","star_rating","hotel_coordinates","num_of_rooms","num_of_floors","rest","bar_lounge","gym","meeting_room","ac","wifi","laundry","pool","parking"
"43","Aloft London Excel","1 Eastern Gateway, Royal Victoria Dock, London, England, E16 1FR, United Kingdom, 866-573-4235","Docklands",7,8.8,"Fabulous",685,"4","474","2019-10-25","2019-10-26",2,0,375509,4,"51.508031,0.035762","252","8",1,1,1,1,0,1,0,1,1
"44","Amba Hotel Charing Cross","The Strand, London, England, WC2N 5HX, United Kingdom, 866-573-4235","West End",0.1,9.2,"Superb",985,"5","497","2019-10-25","2019-10-26",2,0,225288,4,"51.508571,-0.124946","239","6",1,1,1,1,1,1,1,0,0
"45","Amba Hotel Marble Arch","Bryanston Street, Marble Arch, London, England, W1H 7EH, United Kingdom, 866-573-4235","City of Westminster",1.3,8.6,"Fabulous",651,"4.5","506","2019-10-25","2019-10-26",2,0,105507,4,"51.514461,-0.156714","692",NA,1,1,1,1,1,1,1,0,1
"46","Ambassadors Bloomsbury","12 Upper Woburn Place, London, England, WC1H 0HX, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.3,7.6,"Good",573,"3.5","161","2019-10-25","2019-10-26",2,0,206451,4,"51.52662,-0.129937","100","6",1,1,1,1,1,1,1,0,0
"47","Ambassadors Hotel","16 Collingham Road, Kensington, London, England, SW5 0LX, United Kingdom, 866-573-4235","Earl's Court",2.8,6.2,"Good",841,"2.5","146","2019-10-25","2019-10-26",2,0,122282,3,"51.493872,-0.188486","150","6",0,0,0,0,0,1,1,0,0
"48","Amber Residence Hotel","42-44 Gloucester Place, Marylebone, London, England, W1U 8HF, United Kingdom, 866-573-4235","City of Westminster",1.5,6.6,"Good",93,"3.5","147","2019-10-25","2019-10-26",2,0,73112128,2.5,"51.51795,-0.15787","36",NA,0,0,0,0,0,1,1,0,1
"49","Americana Hotel","172 Gloucester Place, London, England, NW1 6DS, United Kingdom, 866-573-4235","Marylebone",1.8,7,"Good",224,"3.5","139","2019-10-25","2019-10-26",2,0,3107904,3,"51.524579,-0.160926","29","6",0,0,0,0,0,1,0,0,0
"50","Amsterdam Hotel London","7 Trebovir Road, Kensington, London, England, SW5 9LS, United Kingdom, 866-573-4235","Earl's Court",3,6.6,"Good",155,"3.5","87","2019-10-25","2019-10-26",2,0,361430,3.5,"51.492251,-0.194154","19","4",0,0,0,0,0,0,0,0,0
"51","Andaz London Liverpool Street - a concept by Hyatt","40 Liverpool Street, London, England, EC2M 7QN, United Kingdom, 866-573-4235","The City of London",2.1,9.2,"Superb",538,"4.5","526","2019-10-25","2019-10-26",2,0,169262,5,"51.517199,-0.081676","267",NA,1,1,0,1,1,1,1,0,0
"52","Antoinette Hotel Wimbledon","249 - 263 The Broadway, Wimbledon, London, England, SW19 1SD, United Kingdom, 866-573-4235","London",6.7,8.4,"Very Good",227,"4","121","2019-10-25","2019-10-26",2,0,261456,3,"51.419454,-0.195012","50","2",0,1,0,1,1,1,0,0,1
"53","Anwar House","31 Collingaham Place, Earls Court, London, England, SW5 0QF, United Kingdom, 866-573-4235","Earl's Court",2.8,5.4,"",49,"2.5","147","2019-10-25","2019-10-26",2,0,542912,2.5,"51.493813,-0.189886","15",NA,0,0,0,0,0,0,0,0,0
"54","Aparthotel Adagio London Brentford (Opening October 2018)","Great West Road, Brentford, England, TW8 0GA, United Kingdom, 866-573-4235","Brentford",7.7,9,"Superb",469,"4.5","180","2019-10-25","2019-10-26",2,0,486094,4,"51.490613,-0.303654","100",NA,0,0,1,0,1,1,1,0,1
"55","Apartments Camden Town","41 Greenland Road, London, England, NW1 0AX, United Kingdom, 866-573-4235","Camden Town",2.3,7,"Good",32,NA,"81","2019-10-25","2019-10-26",2,0,755247168,4,"51.539673,-0.139911","6",NA,0,0,0,0,0,1,0,0,0
"56","Apartments Inn London Lancaster","5 Sussex Place, London, England, W2 2SX, United Kingdom, 866-573-4235","Paddington",2,6.8,"Good",266,"2.5","223","2019-10-25","2019-10-26",2,0,487806,4,"51.514474,-0.172603","14","4",0,0,0,0,0,1,0,0,0
"57","Apartments Inn London Pimlico","25 St. Georges Square, Westminster Borough, London, England, SW1V 1HX, United Kingdom, 866-573-4235","Victoria",1.3,7,"Good",204,"3","223","2019-10-25","2019-10-26",2,0,487804,4,"51.488953,-0.135166","14",NA,0,0,0,0,0,1,0,0,0
"58","Apex City of London Hotel","1 Seething Lane, London, England, EC3N 4AX, United Kingdom, 866-573-4235","The City of London",2.1,9.2,"Superb",1790,"4.5","172","2019-10-25","2019-10-26",2,0,231415,4,"51.510534,-0.079265","209","7",1,1,1,1,1,1,1,0,0
"59","Apex London Wall Hotel","7-9 Copthall Avenue, London, England, EC2R 7NJ, United Kingdom, 866-573-4235","The City of London",1.8,9.2,"Superb",583,"4.5","172","2019-10-25","2019-10-26",2,0,326855,4,"51.51602,-0.08792","89","7",1,1,1,1,1,1,1,0,0
"60","Apex Temple Court Hotel","1-2 Serjeants Inn, Fleet Street, London, England, EC4Y 1AG, United Kingdom, 866-573-4235","Temple",0.9,9.4,"Exceptional",1439,"4.5","191","2019-10-25","2019-10-26",2,0,400461,4,"51.513617,-0.108428","204","5",1,1,1,0,1,1,1,0,0
"61","Apple House Guest House Heathrow Airport","165 West End Lane, Harlington, Hayes, England, UB3 5LY, United Kingdom, 866-573-4235","Harlington",14,7,"Good",51,"3","71","2019-10-25","2019-10-26",2,0,398882,2.5,"51.48516,-0.441976","5","1",0,0,0,0,1,1,0,0,1
"62","Aquarius Hotel ","20-22 Hogarth Road, Earl's Court, London, England, SW5 0PT, United Kingdom, 866-573-4235","Earl's Court",3,5.2,"",368,"2","132","2019-10-25","2019-10-26",2,0,495866,2,"51.493131,-0.192441","41","3",0,0,0,0,0,1,0,0,0
"63","Arbor City Hotel","12-20 Osborn Street, City Hotel Apartments/12, London, England, E1 6TE, United Kingdom, 866-573-4235","Whitechapel",2.6,8.6,"Fabulous",418,"4.5","118","2019-10-25","2019-10-26",2,0,203661,4,"51.516441,-0.069935","115","6",1,1,0,1,1,1,1,0,1
"64","Aron Guest House","27 South Ealing Road, London, England, W5 4QT, United Kingdom, 866-573-4235","London",7.7,6.8,"Good",22,"2","86","2019-10-25","2019-10-26",2,0,412578,3,"51.503005,-0.306952","12",NA,0,0,0,0,0,1,0,0,1
"65","Arosfa","83 Gower Street, London, England, WC1E 6HJ, United Kingdom, 866-573-4235","Bloomsbury",NA,8.8,"Fabulous",318,"4.5","172","2019-10-25","2019-10-26",2,0,318727,3,"51.522331,-0.132485","16","4",0,0,0,0,0,1,0,0,0
"66","Arriva Hotel","47-55 Swinton Street, Kings Cross, London, England, WC1X 9NT, United Kingdom, 866-573-4235","Kings Cross St. Pancras",1.5,6.8,"Good",435,"2.5","109","2019-10-25","2019-10-26",2,0,207775,2.5,"51.528864,-0.118539","75",NA,0,0,0,0,0,1,0,0,0
"67","Artist Residence London","52 Cambridge Street, London, England, SW1V 4QQ, United Kingdom, 866-573-4235","Victoria",1.4,9.6,"Exceptional",37,"4.5","669","2019-10-25","2019-10-26",2,0,529445,4,"51.490599,-0.144749","10","5",1,1,0,1,1,1,1,0,1
"68","Ascot Hyde Park Hotel","11, Craven Road, Paddington, London, England, W2 3BP, United Kingdom, 866-573-4235","Paddington",2.2,5.2,"",267,"2","204","2019-10-25","2019-10-26",2,0,195317,2.5,"51.514786,-0.1767","66","5",0,0,0,1,0,1,0,0,0
"69","Ashburn Hotel","111 Cromwell Road, London, England, SW7 4DP, United Kingdom, 866-573-4235","Earl's Court",2.7,8.8,"Fabulous",570,"4.5","200","2019-10-25","2019-10-26",2,0,151410,4,"51.494772,-0.186","38","7",0,1,1,0,1,1,1,0,0
"70","Ashley Hotel","13-17 Norfolk Square, Paddington, London, England, W2 1RU, United Kingdom, 866-573-4235","Paddington",2,5.8,"",570,"2.5","132","2019-10-25","2019-10-26",2,0,269606,3,"51.515586,-0.173617","50","4",0,0,0,0,0,1,0,0,0
"71","Aspen Apartments","176 Sussex Gardens, Paddington, London, England, W2 1TP, United Kingdom, 866-573-4235","Paddington",2,7,"Good",57,"3.5","161","2019-10-25","2019-10-26",2,0,316534,3.5,"51.51469,-0.17356","15","5",1,1,0,0,0,1,0,0,1
"72","Assaha Hyde Park Apartments","16 Westbourne Street Lancaster Gate, London, England, W2 2TZ, United Kingdom, 866-573-4235","Paddington",2.1,6.4,"Good",157,"2.5","127","2019-10-25","2019-10-26",2,0,415729,3,"51.512662,-0.175186","21","4",0,0,0,0,0,1,0,0,1
"73","Assembly Hotel London","27 - 31 Charing Cross Road, London, England, WC2H 0LS, United Kingdom, 866-573-4235","West End",0.2,8.8,"Fabulous",1171,"4.5","313","2019-10-25","2019-10-26",2,0,769004992,3.5,"51.51053,-0.12862","121",NA,0,1,0,0,1,1,0,0,0
"74","Astor Court Hotel","20 Hallam Street, London, England, W1W 6JQ, United Kingdom, 866-573-4235","Marylebone",1.1,7.4,"Good",337,"3.5","186","2019-10-25","2019-10-26",2,0,121279,3,"51.519699,-0.14327","40","7",0,0,0,1,0,1,1,0,0
"75","Astors Belgravia","106-112 Ebury Street, London, England, SW1W 9QD, United Kingdom, 866-573-4235","Victoria",1.4,7.6,"Good",363,"3.5","126","2019-10-25","2019-10-26",2,0,546692,3.5,"51.493564,-0.149967","47",NA,0,0,0,0,1,1,0,0,0
"76","At Home Chiswick","45 Glebe Street, Chiswick, London, England, W4 2BE, United Kingdom, 866-573-4235","Hammersmith and Fulham",5.7,6.2,"Good",8,"2.5","76","2019-10-25","2019-10-26",2,0,296464,2,"51.491055,-0.257723","4","2",0,0,0,0,0,1,1,0,1
"77","Athena","110/114 Sussex Gardens, Hyde Park, London, England, W2 1UA, United Kingdom, 866-573-4235","Paddington",2,7.8,"Good",1372,"3.5","120","2019-10-25","2019-10-26",2,0,290279,3,"51.51593,-0.171745","36","4",0,0,0,0,0,1,0,0,1
"78","Atrium Hotel Heathrow","Great South-West Rd, Feltham, England, TW14 0AW, United Kingdom, 866-573-4235","Feltham",13,7.2,"Good",36,"3","61","2019-10-25","2019-10-26",2,0,889564352,4,"51.46661,-0.42061","612","5",1,1,1,1,1,1,1,1,1
"79","Austin Suites","4 Hackney Road, London, England, E2 7NS, United Kingdom, 866-573-4235","Shoreditch",2.6,6.4,"Good",6,"1","126","2019-10-25","2019-10-26",2,0,1029457920,3,"51.52732,-0.07714","1",NA,0,0,0,0,0,1,0,0,0
"80","Aviva Guest House","42 Glenthorne Rd, London, England, W6 0LS, United Kingdom, 866-573-4235","Hammersmith",4.4,8.6,"Fabulous",96,"4.5","100","2019-10-25","2019-10-26",2,0,1046179872,NA,"51.494569,-0.228645","11",NA,0,0,0,0,1,1,1,0,0
"81","Avni Kensington Hotel","40-44 Harrington Gardens, Kensington and Chelsea, London, England, SW7 4LT, United Kingdom, 866-573-4235","South Kensington",2.7,6.8,"Good",339,"3","156","2019-10-25","2019-10-26",2,0,17661504,3.5,"51.492495,-0.186451","83","7",0,1,0,0,0,1,1,0,0
"82","Avo Hotel","82 Dalston Lane, London, England, E8 3AH, United Kingdom, 866-573-4235","Dalston",3.6,8.6,"Fabulous",20,"4.5","151","2019-10-25","2019-10-26",2,0,738484992,3.5,"51.54606,-0.07008","6",NA,1,0,0,0,0,0,0,0,1
"83","Avoca House Hotel","46 Belsize Park, Hampstead, London, England, NW3 4EG, United Kingdom, 866-573-4235","Hampstead",3.3,8,"Very Good",210,"4","111","2019-10-25","2019-10-26",2,0,285954,2.5,"51.546295,-0.173617","9","4",0,0,0,0,0,1,0,0,0
"84","Avonmore Hotel Cartwright Gardens","57 Cartwright Gardens, London, England, WC1H 9EL, United Kingdom, 866-573-4235","Bloomsbury",1.3,6.4,"Good",105,"3","188","2019-10-25","2019-10-26",2,0,285955,3,"51.526256,-0.126604","15","3",0,0,0,0,0,1,0,0,0
"85","B+B Belgravia","64-66 Ebury Street, London, England, SW1W 9QD, United Kingdom, 866-573-4235","Victoria",1.3,8,"Very Good",533,"4","182","2019-10-25","2019-10-26",2,0,444634,4,"51.494413,-0.148957","26","3",0,0,0,0,0,1,0,0,0
"86","Balmoral House Hotel","156 Sussex Gardens, London, England, W2 1UD, United Kingdom, 866-573-4235","Paddington",2,7.6,"Good",124,"3.5","198","2019-10-25","2019-10-26",2,0,417134,2.5,"51.515142,-0.173061","18","4",0,0,0,0,0,1,0,0,1
"87","Barbican Rooms","42-46 Chiswell Street, London, England, EC1Y 4SB, United Kingdom, 866-573-4235","The City of London",1.8,8.6,"Fabulous",164,"4.5","715","2019-10-25","2019-10-26",2,0,427926,4.5,"51.520872,-0.090911","55","5",1,1,1,0,1,1,1,0,1
"88","Batty Langley's","12 Folgate Street, Spitalfields, London, England, E1 6BX, United Kingdom, 866-573-4235","Spitalfields",2.3,9.6,"Exceptional",249,"5","232","2019-10-25","2019-10-26",2,0,576491,4,"51.521005,-0.077975","29","5",0,1,0,1,1,1,1,0,0
"89","Bayswater Inn","8-16 Princes Square, Bayswater, London, England, W2 4NT, United Kingdom, 866-573-4235","Paddington",2.8,6,"Good",627,"2.5","99","2019-10-25","2019-10-26",2,0,140320,3,"51.512944,-0.19218","165",NA,1,0,0,1,0,0,0,0,1
"90","Beaufort Hotel","33 Beaufort Gardens, Knightsbridge, London, England, SW3 1PP, United Kingdom, 866-573-4235","Knightsbridge",1.7,8.8,"Fabulous",131,"4.5","279","2019-10-25","2019-10-26",2,0,170486,4,"51.4979,-0.164095","29","5",0,0,1,1,1,1,1,0,0
"91","Beautiful Room in Victorian Family Home","Cranbrook Road, Ilford, England, IG1 4UT, United Kingdom, 866-573-4235","Ilford",9.3,10,"Exceptional",NA,NA,"79","2019-10-25","2019-10-26",2,0,875963552,3.5,"51.56968,0.06467",NA,NA,0,0,0,0,0,0,0,0,1
"92","Belgrave Hotel","9-13 Clapham Road, London, England, SW9 0JD, United Kingdom, 866-573-4235","London",2,6.8,"Good",144,"3.5","104","2019-10-25","2019-10-26",2,0,454568,3,"51.480576,-0.11364","33",NA,0,0,0,0,0,1,1,0,0
"93","Belle Cour Russell Square","42 Tavistock Place, Bloomsbury, London, England, WC1H 9RE, United Kingdom, 866-573-4235","Bloomsbury",1.2,5.8,"",106,"2.5","141","2019-10-25","2019-10-26",2,0,313442,4,"51.525579,-0.125801","10","5",0,0,0,1,0,1,0,0,0
"94","Belle Cour Victoria","4 Upper Tachbrook Street, Westminister, London, England, SW1V 1SH, United Kingdom, 866-573-4235","Victoria",1.1,4.8,"",55,"2.5","105","2019-10-25","2019-10-26",2,0,395485,3,"51.493447,-0.139734","6",NA,0,0,0,0,0,1,0,0,0
"95","Belmond Cadogan Hotel","75 Sloane Street, Chelsea, London, England, SW1X 9SG, United Kingdom, 866-573-4235","Knightsbridge",1.5,10,"Exceptional",5,"5","919","2019-10-25","2019-10-26",2,0,180554,5,"51.497009,-0.158927","65","5",1,1,1,1,1,0,1,0,0
"96","Belvedere Hotel","52-54 Norfolk Square, Paddington, London, England, W2 1RT, United Kingdom, 866-573-4235","Paddington",2,7,"Good",403,"3.5","100","2019-10-25","2019-10-26",2,0,285973,2.5,"51.516471,-0.172765","39",NA,0,0,0,0,0,1,0,0,0
"97","Beresford Road London Rooms","63D Beresford Rd, Mildmay Ward, London, England, N5 2HR, United Kingdom, 866-573-4235","Highbury",3.3,6,"Good",NA,NA,"114","2019-10-25","2019-10-26",2,0,798435744,3,"51.55001,-0.0905","2",NA,0,0,0,0,0,1,1,0,1
